port_id,port_type,port_name,qualified_port_name,port_annotation_id,data_id
1,in,video_file,led_highlighter<-video_file,2,1
2,param,frame_inc,led_highlighter<-frame_inc,4,2
3,param,delay,led_highlighter<-delay,6,3
4,param,histogram,led_highlighter<-histogram,7,4
5,out,saved_image,led_highlighter->saved_image,9,5
6,out,formated_centers,led_highlighter->formated_centers,12,6
7,out,num_centers,led_highlighter->num_centers,13,7
8,in,image,led_highlighter.display_img<-image,18,8
9,in,image,led_highlighter.display_img<-image,20,9
10,in,image,led_highlighter.display_img<-image,22,10
11,param,delay,led_highlighter.display_img<-delay,24,11
12,param,frame_inc,led_highlighter.grab_images<-frame_inc,28,12
13,param,delay,led_highlighter.grab_images<-delay,30,11
14,in,video_file,led_highlighter.grab_images<-video_file,31,13
15,out,saved_image,led_highlighter.grab_images->saved_image,33,14
16,in,saved_image,led_highlighter.to_gray<-saved_image,39,14
17,out,gray_img,led_highlighter.to_gray->gray_img,42,8
18,in,gray_img,led_highlighter.extract_bright<-gray_img,48,8
19,param,histogram,led_highlighter.extract_bright<-histogram,51,15
20,out,thresh_img,led_highlighter.extract_bright->thresh_img,53,9
21,in,thresh_img,led_highlighter.find_leds<-thresh_img,59,9
22,out,out_img,led_highlighter.find_leds->out_img,62,10
23,out,region,led_highlighter.find_leds->region,64,16
24,in,regions,led_highlighter.leds_position<-regions,70,16
25,out,centers,led_highlighter.leds_position->centers,73,17
26,in,centers,led_highlighter.print_info<-centers,78,17
27,out,formated_centers,led_highlighter.print_info->formated_centers,80,18
28,out,num_centers,led_highlighter.print_info->num_centers,81,19
